City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,antsiranana,-12.2787,49.2917,21.18,69,4,5.6,MG,1721513793
346,phang nga,8.4509,98.5298,26.02,93,98,0.83,TH,1721513794
347,slavutych,51.5196,30.7343,15.67,81,57,1.46,UA,1721513796
348,callao,-12.0667,-77.15,17.16,72,0,7.2,PE,1721513797
349,oriximina,-1.7656,-55.8661,29.62,53,79,1.71,BR,1721513798
350,gazojak,41.1875,61.4036,30.11,22,0,2.94,TM,1721513799
351,malango,-2.9627,119.9001,17.82,100,89,0.8,ID,1721513800
352,hazorasp,41.3194,61.0742,21.91,24,0,3.5,UZ,1721513801
353,sinan,34.8262,126.1086,25.06,98,88,4.52,KR,1721513803
354,corn island,12.1694,-83.0418,28.21,83,100,7.4,NI,1721513804
355,volgodonsk,47.5136,42.1514,23.99,55,69,4.33,RU,1721513805
356,narrabri,-30.3167,149.7833,6.4,87,1,0.63,AU,1721513806
357,jaltepec,19.7333,-98.6333,17.02,70,76,3.58,MX,1721513807
358,harper,4.375,-7.7169,24.11,84,100,5.0,LR,1721513808
359,piranshahr,36.701,45.1413,19.72,44,3,1.4,IR,1721513809
360,ghadamis,30.1337,9.5007,33.45,16,0,3.37,LY,1721513811
361,boali,4.8005,18.1275,24.39,72,100,0.74,CF,1721513812
362,punakha,27.5837,89.8598,21.72,96,100,1.22,BT,1721513813
363,saipan,15.1355,145.701,27.39,94,40,5.66,MP,1721513814
